"Step","predictor_howscorepredictor_s3512_h6_20240924_103102 - Val/acc_all_0","predictor_howscorepredictor_s3512_h6_20240924_103102 - Val/acc_all_0__MIN","predictor_howscorepredictor_s3512_h6_20240924_103102 - Val/acc_all_0__MAX"
"1","44.02851867675781","44.02851867675781","44.02851867675781"
"2","7.664884090423584","7.664884090423584","7.664884090423584"
"3","11.158645629882812","11.158645629882812","11.158645629882812"
"4","11.158645629882812","11.158645629882812","11.158645629882812"
"5","11.158645629882812","11.158645629882812","11.158645629882812"
"6","11.158645629882812","11.158645629882812","11.158645629882812"
"7","11.158645629882812","11.158645629882812","11.158645629882812"
"8","18.21746826171875","18.21746826171875","18.21746826171875"
"9","18.502674102783203","18.502674102783203","18.502674102783203"
"10","26.916221618652344","26.916221618652344","26.916221618652344"
"11","39.786094665527344","39.786094665527344","39.786094665527344"
"12","47.37968063354492","47.37968063354492","47.37968063354492"
"13","59.85739517211914","59.85739517211914","59.85739517211914"
"14","69.59001922607422","69.59001922607422","69.59001922607422"
"15","71.83600616455078","71.83600616455078","71.83600616455078"
"16","72.79857635498047","72.79857635498047","72.79857635498047"
"17","73.11943054199219","73.11943054199219","73.11943054199219"
"18","73.33333587646484","73.33333587646484","73.33333587646484"
"19","73.97504425048828","73.97504425048828","73.97504425048828"
"20","74.26024627685547","74.26024627685547","74.26024627685547"
"21","74.4028549194336","74.4028549194336","74.4028549194336"
"22","74.61675262451172","74.61675262451172","74.61675262451172"
"23","74.26024627685547","74.26024627685547","74.26024627685547"
"24","74.18894958496094","74.18894958496094","74.18894958496094"
"25","74.90196228027344","74.90196228027344","74.90196228027344"
"26","74.47415161132812","74.47415161132812","74.47415161132812"
"27","74.4384994506836","74.4384994506836","74.4384994506836"
"28","74.47415161132812","74.47415161132812","74.47415161132812"
"29","74.72370910644531","74.72370910644531","74.72370910644531"
"30","74.68805694580078","74.68805694580078","74.68805694580078"
"31","75.1158676147461","75.1158676147461","75.1158676147461"
"32","75.0089111328125","75.0089111328125","75.0089111328125"
"33","74.90196228027344","74.90196228027344","74.90196228027344"
"34","74.97325897216797","74.97325897216797","74.97325897216797"
"35","74.68805694580078","74.68805694580078","74.68805694580078"
"36","74.72370910644531","74.72370910644531","74.72370910644531"
"37","74.58110809326172","74.58110809326172","74.58110809326172"
"38","74.47415161132812","74.47415161132812","74.47415161132812"
"39","74.50980377197266","74.50980377197266","74.50980377197266"
"40","74.4384994506836","74.4384994506836","74.4384994506836"
"41","74.18894958496094","74.18894958496094","74.18894958496094"
"42","74.22460174560547","74.22460174560547","74.22460174560547"
"43","74.04634857177734","74.04634857177734","74.04634857177734"
"44","74.11764526367188","74.11764526367188","74.11764526367188"
"45","74.04634857177734","74.04634857177734","74.04634857177734"
"46","74.33155059814453","74.33155059814453","74.33155059814453"
"47","74.33155059814453","74.33155059814453","74.33155059814453"
"48","74.18894958496094","74.18894958496094","74.18894958496094"
"49","73.90373992919922","73.90373992919922","73.90373992919922"
"50","74.36720275878906","74.36720275878906","74.36720275878906"
"51","73.90373992919922","73.90373992919922","73.90373992919922"
"52","74.22460174560547","74.22460174560547","74.22460174560547"
"53","73.90373992919922","73.90373992919922","73.90373992919922"
"54","74.01069641113281","74.01069641113281","74.01069641113281"
"55","73.90373992919922","73.90373992919922","73.90373992919922"
"56","73.90373992919922","73.90373992919922","73.90373992919922"
"57","74.08199310302734","74.08199310302734","74.08199310302734"
"58","74.18894958496094","74.18894958496094","74.18894958496094"
"59","74.1532974243164","74.1532974243164","74.1532974243164"
"60","74.04634857177734","74.04634857177734","74.04634857177734"
"61","74.22460174560547","74.22460174560547","74.22460174560547"
"62","74.08199310302734","74.08199310302734","74.08199310302734"
"63","74.26024627685547","74.26024627685547","74.26024627685547"
"64","74.11764526367188","74.11764526367188","74.11764526367188"
"65","74.2958984375","74.2958984375","74.2958984375"
"66","74.36720275878906","74.36720275878906","74.36720275878906"
"67","74.33155059814453","74.33155059814453","74.33155059814453"
"68","74.4028549194336","74.4028549194336","74.4028549194336"
"69","74.33155059814453","74.33155059814453","74.33155059814453"
"70","74.22460174560547","74.22460174560547","74.22460174560547"
"71","74.11764526367188","74.11764526367188","74.11764526367188"
"72","74.4384994506836","74.4384994506836","74.4384994506836"
"73","74.4028549194336","74.4028549194336","74.4028549194336"
"74","74.1532974243164","74.1532974243164","74.1532974243164"
"75","74.08199310302734","74.08199310302734","74.08199310302734"
"76","74.1532974243164","74.1532974243164","74.1532974243164"
"77","74.22460174560547","74.22460174560547","74.22460174560547"
"78","74.08199310302734","74.08199310302734","74.08199310302734"
"79","74.26024627685547","74.26024627685547","74.26024627685547"
"80","74.11764526367188","74.11764526367188","74.11764526367188"
